				NO			,				FN			,				LN			,				DIVISION			,				OVERALL			,				DIVPL			,				SEXPL			,				10K			,				HALF MARATHON			,				20 MILE			,				TIME			,				PACE			
9103,Brian,Finnel,M30-34,1,1/98,1/678,34:03:00,1:10:50,1:47:35,2:22:48,5:28
9075,Arturs,Bareikis,M30-34,2,2/98,2/678,-,1:11:14,1:49:09,2:23:14,5:28
9121,Luke,Kibet,M30-34,3,3/98,3/678,33:10:00,1:10:50,1:49:10,2:26:09,5:35
8328,Kevin,Gries,M25-29,4,1/109,4/678,-,-,1:57:54,2:38:13,6:03
8916,Andrew,Ulrey,M25-29,5,2/109,5/678,36:47:00,-,2:01:18,2:39:28,6:06
8243,Stephen,Eles,M35-39,6,1/107,6/678,36:40:00,1:18:07,1:59:56,2:39:51,6:07
8913,Alexander,Tyner,M18-24,7,1/100,7/678,37:27:00,1:19:29,2:01:41,2:40:01,6:07
8484,David,Krall,M35-39,8,2/107,8/678,35:48:00,-,2:00:12,2:40:01,6:07
8802,T.J.,Schmidt,M35-39,9,3/107,9/678,37:21:00,-,2:02:03,2:40:40,6:08
8323,Jonah,Grant,M18-24,10,2/100,10/678,-,1:20:17,2:02:24,2:43:25,6:15
9157,Eric,Van Winkle,M30-34,11,4/98,11/678,38:46:00,1:21:34,2:03:35,2:43:51,6:16
8177,Eric,Crutchfield,M30-34,12,5/98,12/678,39:36:00,1:23:21,-,2:46:14,6:21
8404,Matthew,Hutter,M35-39,13,4/107,13/678,39:57:00,1:23:24,2:06:52,2:46:39,6:22
8856,Ryan,Spahn,M18-24,14,3/100,14/678,-,1:23:49,2:08:16,2:48:47,6:27
9158,Esteban,Vanegas,M45-49,15,1/58,15/678,36:44:00,1:20:36,2:07:04,2:51:19,6:33
8906,Andrew,Thonesen,M25-29,16,3/109,16/678,39:45:00,1:24:18,2:08:42,2:52:08,6:35
8120,Thomas,Brunold,M45-49,17,2/58,17/678,39:45:00,1:24:53,2:10:24,2:52:55,6:36
9125,Thor,Laack-Veeder,M18-24,18,4/100,18/678,41:54:00,1:27:06,2:11:20,2:53:35,6:38
8182,Declan,Curley,M45-49,19,3/58,19/678,40:40:00,-,2:12:44,2:53:35,6:38
8917,Michael,Ulrey,M25-29,20,4/109,20/678,40:02:00,1:25:01,2:09:55,2:54:05,6:39
8438,Brian,Karl,M18-24,21,5/100,21/678,41:12:00,1:27:28,2:12:46,2:54:29,6:40
9148,Brent,Smith,M60-64,22,1/25,22/678,40:10:00,1:25:53,2:11:56,2:55:01,6:41
8440,Adam,Kassem,M25-29,23,5/109,23/678,41:28:00,-,2:13:24,2:55:47,6:43
8591,Gerad,Mead,M35-39,24,5/107,24/678,40:49:00,1:27:40,2:13:43,2:56:12,6:44
8410,Patrick,Jackson,M30-34,25,6/98,25/678,39:30:00,1:23:48,2:10:24,2:56:57,6:46
9198,David,Zeisler,M40-44,26,1/76,26/678,-,1:28:45,2:15:27,2:57:39,6:47
8605,Daegan,Miller,M35-39,27,6/107,27/678,41:31:00,1:27:46,2:14:11,2:57:44,6:47
8334,Matt,Grulke,M35-39,28,7/107,28/678,40:14:00,-,2:13:19,2:57:44,6:48
8125,Mike,Buenting,M40-44,29,2/76,29/678,-,1:23:15,2:09:40,2:57:46,6:48
8993,Robert,Wolfe,M45-49,30,4/58,30/678,41:14:00,1:27:33,2:13:27,2:58:18,6:49
8443,Stanley,Kaymen,M25-29,31,6/109,31/678,40:26:00,1:27:46,2:13:44,2:58:23,6:49
8736,Alfredo,Ramirez Pinho,M25-29,32,7/109,32/678,38:03:00,1:21:27,2:09:35,2:58:33,6:49
8280,Scott,Franklin,M18-24,33,6/100,33/678,38:46:00,1:24:18,2:12:31,2:58:41,6:50
