age	gender	firstHalf	final	halfPace	fullPace	secondHalf	secondHalfPace	BQ	diffPace	ID
33	M	01:05:38	02:08:51	300.610687022901	295.076335877863	01:03:13	289.541984732824	1	-11.0687022900763	1
32	M	01:06:26	02:09:28	304.274809160305	296.488549618321	01:03:02	288.702290076336	1	-15.5725190839694	2
31	M	01:06:49	02:10:42	306.030534351145	299.312977099237	01:03:53	292.595419847328	1	-13.4351145038168	3
38	M	01:06:16	02:13:45	303.511450381679	306.297709923664	01:07:29	309.083969465649	1	5.57251908396944	4
31	M	01:06:32	02:13:59	304.732824427481	306.832061068702	01:07:27	308.931297709924	1	4.19847328244276	5
31	M	01:06:13	02:14:11	303.282442748092	307.290076335878	01:07:58	311.297709923664	1	8.01526717557249	6
27	M	01:06:40	02:14:28	305.343511450382	307.93893129771	01:07:48	310.534351145038	1	5.19083969465646	7
31	M	01:06:31	02:15:16	304.656488549618	309.770992366412	01:08:45	314.885496183206	1	10.2290076335878	8
30	M	01:05:39	02:15:57	300.687022900763	311.335877862595	01:10:18	321.984732824428	1	21.2977099236641	9
30	M	01:05:40	02:16:39	300.763358778626	312.93893129771	01:10:59	325.114503816794	1	24.3511450381679	10
26	M	01:08:10	02:18:18	312.213740458015	316.717557251908	01:10:08	321.221374045802	1	9.0076335877863	11
29	M	01:05:54	02:18:52	301.832061068702	318.015267175573	01:12:58	334.198473282443	1	32.3664122137405	12
28	M	01:08:59	02:19:36	315.954198473282	319.69465648855	01:10:37	323.435114503817	1	7.48091603053433	13
24	M	01:09:16	02:19:45	317.251908396947	320.038167938931	01:10:29	322.824427480916	1	5.57251908396944	14
37	M	01:05:21	02:19:47	299.312977099237	320.114503816794	01:14:26	340.916030534351	1	41.6030534351145	15
25	M	01:09:52	02:20:17	320	321.259541984733	01:10:25	322.519083969466	1	2.51908396946567	16
22	M	01:09:53	02:20:57	320.076335877863	322.786259541985	01:11:04	325.496183206107	1	5.41984732824426	17
30	M	01:05:40	02:21:17	300.763358778626	323.549618320611	01:15:37	346.335877862595	1	45.5725190839695	18
26	M	01:10:11	02:21:24	321.450381679389	323.81679389313	01:11:13	326.18320610687	1	4.73282442748092	19
36	M	01:10:35	02:21:55	323.282442748092	325	01:11:20	326.717557251908	1	3.43511450381681	20
28	M	01:11:59	02:22:14	329.69465648855	325.725190839695	01:10:15	321.75572519084	1	-7.93893129770993	21
31	M	01:05:54	02:22:20	301.832061068702	325.954198473282	01:16:26	350.076335877863	1	48.2442748091603	22
41	M	01:09:14	02:22:27	317.099236641221	326.221374045802	01:13:13	335.343511450382	1	18.2442748091603	23
24	M	01:11:18	02:22:55	326.564885496183	327.290076335878	01:11:37	328.015267175573	1	1.45038167938935	24
26	M	01:10:17	02:22:56	321.908396946565	327.328244274809	01:12:39	332.748091603053	1	10.8396946564886	25
36	M	01:06:39	02:23:31	305.267175572519	328.664122137405	01:16:52	352.06106870229	1	46.793893129771	26
28	M	01:10:32	02:23:39	323.053435114504	328.969465648855	01:13:07	334.885496183206	1	11.8320610687023	27
29	M	01:12:25	02:23:48	331.679389312977	329.312977099237	01:11:23	326.946564885496	1	-4.73282442748092	28
34	W	01:12:35	02:24:13	332.442748091603	330.267175572519	01:11:38	328.091603053435	1	-4.35114503816794	29
31	M	01:14:07	02:25:19	339.465648854962	332.786259541985	01:11:12	326.106870229008	1	-13.3587786259542	30
39	W	01:13:13	02:25:37	335.343511450382	333.473282442748	01:12:24	331.603053435115	1	-3.74045801526717	31
29	M	01:09:59	02:25:38	320.534351145038	333.511450381679	01:15:39	346.488549618321	1	25.9541984732825	32
29	W	01:13:09	02:25:50	335.038167938931	333.969465648855	01:12:41	332.900763358779	1	-2.13740458015263	33
31	M	01:13:24	02:25:56	336.18320610687	334.198473282443	01:12:32	332.213740458015	1	-3.96946564885496	34
30	M	01:11:51	02:26:15	329.083969465649	334.923664122137	01:14:24	340.763358778626	1	11.6793893129771	35
30	M	01:08:34	02:26:36	314.045801526718	335.725190839695	01:18:02	357.404580152672	1	43.3587786259542	36
34	M	01:06:20	02:27:22	303.81679389313	337.480916030534	01:21:02	371.145038167939	1	67.3282442748092	37
27	M	01:12:23	02:27:24	331.526717557252	337.557251908397	01:15:01	343.587786259542	1	12.0610687022901	38
23	M	01:13:42	02:27:32	337.557251908397	337.862595419847	01:13:50	338.167938931298	1	0.610687022900777	39
37	M	01:12:10	02:28:08	330.534351145038	339.236641221374	01:15:58	347.93893129771	1	17.4045801526718	40
36	W	01:12:57	02:28:13	334.12213740458	339.427480916031	01:15:16	344.732824427481	1	10.6106870229008	41
27	W	01:13:07	02:28:27	334.885496183206	339.961832061069	01:15:20	345.038167938931	1	10.1526717557252	42
39	M	01:12:57	02:28:36	334.12213740458	340.30534351145	01:15:39	346.488549618321	1	12.3664122137405	43
38	M	01:13:08	02:28:51	334.961832061069	340.87786259542	01:15:43	346.793893129771	1	11.8320610687023	44
47	M	01:15:38	02:28:55	346.412213740458	341.030534351145	01:13:17	335.648854961832	1	-10.763358778626	45
36	W	01:13:00	02:28:56	334.351145038168	341.068702290076	01:15:56	347.786259541985	1	13.4351145038168	46
34	W	01:12:47	02:29:07	333.358778625954	341.488549618321	01:16:20	349.618320610687	1	16.2595419847328	47
24	W	01:13:39	02:29:10	337.328244274809	341.603053435115	01:15:31	345.87786259542	1	8.5496183206107	48
38	M	01:13:30	02:29:12	336.641221374046	341.679389312977	01:15:42	346.717557251908	1	10.0763358778626	49
35	M	01:12:52	02:29:15	333.740458015267	341.793893129771	01:16:23	349.847328244275	1	16.1068702290077	50
35	M	01:13:51	02:29:35	338.24427480916	342.557251908397	01:15:44	346.870229007634	1	8.62595419847332	51
39	M	01:12:41	02:29:35	332.900763358779	342.557251908397	01:16:54	352.213740458015	1	19.3129770992366	52
36	W	01:13:44	02:29:38	337.709923664122	342.671755725191	01:15:54	347.63358778626	1	9.92366412213744	53
33	M	01:13:40	02:29:52	337.404580152672	343.206106870229	01:16:12	349.007633587786	1	11.6030534351145	54
22	M	01:09:44	02:29:54	319.389312977099	343.282442748092	01:20:10	367.175572519084	1	47.7862595419847	55
22	M	01:09:35	02:30:10	318.702290076336	343.893129770992	01:20:35	369.083969465649	1	50.381679389313	56
35	W	01:14:04	02:30:10	339.236641221374	343.893129770992	01:16:06	348.549618320611	1	9.31297709923666	57
32	M	01:13:37	02:30:12	337.175572519084	343.969465648855	01:16:35	350.763358778626	1	13.587786259542	58
33	M	01:13:00	02:30:20	334.351145038168	344.274809160305	01:17:20	354.198473282443	1	19.8473282442748	59
34	W	01:13:28	02:30:20	336.488549618321	344.274809160305	01:16:52	352.06106870229	1	15.5725190839694	60
36	M	01:14:28	02:30:41	341.068702290076	345.076335877863	01:16:13	349.083969465649	1	8.01526717557255	61
31	W	01:14:39	02:30:45	341.908396946565	345.229007633588	01:16:06	348.549618320611	1	6.64122137404581	62
23	W	01:13:42	02:30:46	337.557251908397	345.267175572519	01:17:04	352.977099236641	1	15.4198473282443	63
32	W	01:13:51	02:30:52	338.24427480916	345.496183206107	01:17:01	352.748091603053	1	14.5038167938932	64
38	W	01:14:22	02:30:55	340.610687022901	345.610687022901	01:16:33	350.610687022901	1	10	65
31	M	01:13:13	02:31:01	335.343511450382	345.839694656489	01:17:48	356.335877862595	1	20.9923664122138	66
28	M	01:13:18	02:31:06	335.725190839695	346.030534351145	01:17:48	356.335877862595	1	20.6106870229008	67
37	W	01:13:29	02:31:06	336.564885496183	346.030534351145	01:17:37	355.496183206107	1	18.9312977099237	68
30	M	01:14:56	02:31:10	343.206106870229	346.18320610687	01:16:14	349.160305343511	1	5.95419847328247	69
27	M	01:13:52	02:31:13	338.320610687023	346.297709923664	01:17:21	354.274809160305	1	15.9541984732825	70
34	M	01:14:07	02:31:18	339.465648854962	346.488549618321	01:17:11	353.511450381679	1	14.0458015267176	71
44	M	01:16:36	02:31:18	350.839694656489	346.488549618321	01:14:42	342.137404580153	1	-8.70229007633588	72
31	M	01:14:40	02:31:34	341.984732824428	347.099236641221	01:16:54	352.213740458015	1	10.2290076335877	73
30	M	01:14:40	02:31:41	341.984732824428	347.36641221374	01:17:01	352.748091603053	1	10.763358778626	74
26	M	01:12:43	02:31:44	333.053435114504	347.480916030534	01:19:01	361.908396946565	1	28.8549618320611	75
29	M	01:07:09	02:31:49	307.557251908397	347.671755725191	01:24:40	387.786259541985	1	80.2290076335878	76
34	M	01:14:59	02:32:05	343.435114503817	348.282442748092	01:17:06	353.129770992366	1	9.69465648854964	77
